Strategy,Metric,mean,std,min,max,count
contextual,Accuracy,27.905,55.923,-40.0,150.0,15
contextual,Bias_Composite,37.552,57.182,-27.778,177.778,15
contextual,Fairness,103.571,164.175,-50.0,400.0,15
contextual,Neutrality,141.327,161.445,0.0,400.0,14
contextual,Relevance,16.111,54.86,-80.0,150.0,15
contextual,Representation,55.769,115.886,-50.0,400.0,13
instructional,Accuracy,20.127,45.789,-40.0,100.0,15
instructional,Bias_Composite,39.476,61.429,-30.0,177.778,15
instructional,Fairness,113.571,159.804,-25.0,400.0,15
instructional,Neutrality,128.35,168.076,-40.0,400.0,14
instructional,Relevance,17.349,53.181,-40.0,150.0,15
instructional,Representation,86.538,131.101,-42.857,400.0,13
retrieval_based,Accuracy,47.238,78.099,-20.0,300.0,15
retrieval_based,Bias_Composite,58.142,64.074,-10.0,240.0,15
retrieval_based,Fairness,127.143,143.643,-25.0,400.0,15
retrieval_based,Neutrality,134.541,154.956,-20.0,400.0,14
retrieval_based,Relevance,44.794,88.529,-25.0,300.0,15
retrieval_based,Representation,82.967,78.719,-14.286,200.0,13
